stem,position,category,meaning,who_definition,chinese,target_classes,mechanisms,chemical_classes,indications,examples,infix_required,allowed_infixes,exclusion_rules,priority,source
gli,infix,mechanism_stem,antihyperglycaemics,,格列,,,small_molecule,type 2 diabetes,nerigliatin;alogliptin;bisegliptin;mizagliflozin;mitiglinide;anagliptin;bexagliflozin;reglitazar,false,,,7,WHO INN Programme
guan-,prefix,mechanism_stem,"antihypertensives, guanidine derivatives",,胍-,,,small_molecule,cardiovascular disease,guanabenz;guanadrel;guanazodine;guancidine;guanclofine;guanethidine;guanfacine;guanisoquine,false,,,7,WHO INN Programme
imex,infix,mechanism_stem,immunostimulants,,美司,,agonist,small_molecule,,azimexon;forfenimex;imexon;roquinimex,false,,,7,WHO INN Programme
io-,prefix,mechanism_stem,iodine-containing contrast media,,碘-/-碘-,,,small_molecule,,iobenzamic acid;iobitridol;iobutoic acid;iocarmic acid;iocetamic acid;iodamide;iodecimol;iodetryl,false,,,7,WHO INN Programme
mito-,prefix,mechanism_stem,"antineoplastics, nucleotoxic agents (deleted from General Principles in List 24 prop. INN)",,米托-,,,small_molecule,cancer,mitobronitol;mitocarcin;mitoclomine;mitoflaxone;mitogillin;mitoguazone;mitolactol;mitomalcin,false,,,7,WHO INN Programme
nab,infix,target_class_stem,cannabinoid receptor agonists,,纳班,gpcr,agonist,small_molecule,,cannabidiol;cannabinol;dronabinol;lenabasum;menabitan;nabazenil;nabilone;nabitan,false,,,7,WHO INN Programme
nal-,prefix,target_class_stem,opioid receptor antagonists/agonists related to normorphine,,纳-,gpcr,antagonist;agonist,small_molecule,,dinalbuphine sebacate;methylnaltrexone bromide;nalmetrene;nalmexone;nalorphine;naloxegol;naloxone;naltalimide,false,,,7,WHO INN Programme
nifur-,prefix,mechanism_stem,5-nitrofuran derivatives,,,,,small_molecule,,nifuradene;nifuraldezone;nifuralide;nifuratel;nifuratrone;nifurdazil;nifurethazone;nifurfoline,false,,,7,WHO INN Programme
orphan,infix,target_class_stem,"opioid receptor antagonists/agonists, morphinan derivatives",,啡烷,gpcr,antagonist;agonist,small_molecule,,proxorphan;levomethorphan;levophenacylmorphan;phenomorphan;dextrorphan;levallorphan;racemethorphan;orphan,false,,,7,WHO INN Programme
pred,infix,mechanism_stem,prednisone and prednisolone derivatives,,泼,,,small_molecule,,difluprednate;oxisopred;loteprednol;prednicarbate;halopredone;methylprednisolone;meprednisone;prednazate,false,,,7,WHO INN Programme
prost,infix,mechanism_stem,prostaglandins,,,,,small_molecule,,eptaloprost;naxaprostene;spiriprostil;cobiprostone;sepetaprost;dimoxaprost;saprostol;boprost,false,,,7,WHO INN Programme
retin,infix,mechanism_stem,retinol derivatives,,维A,,,small_molecule,,acitretin;previously etretin;alitretinoin;doretinel;etretinate;fenretinide;isotretinoin;motretinide,false,,,7,WHO INN Programme
rifa-,prefix,mechanism_stem,"antibiotics, rifamycin derivatives",,利福-,,inhibitor,small_molecule,infectious disease,rifabutin;rifalazil;rifametane;rifamexil;rifamide;rifampicin;rifamycin;rifapentine,false,,,7,WHO INN Programme
sal,infix,mechanism_stem,salicylic acid derivatives,,,,,small_molecule,,choline salicylate;imidazole salicylate;salacetamide;salprotoside;salsalate;salverine;salafibrate;salantel,false,,,7,WHO INN Programme
som-,prefix,mechanism_stem,growth hormone derivatives,,索胺,nuclear_receptor,,small_molecule,,somagrebove;somavubove;sometribove;somidobove;somalapor;somenopor;somfasepor;sometripor,false,,,7,WHO INN Programme
trop,infix,mechanism_stem,atropine derivatives,,托,,,small_molecule,,atropine oxyde;benzatropine;decitropine;etybenzatropine;eucatropine;tropatepine;tropicamide;tropigline,false,,,7,WHO INN Programme
-(ar)abine,suffix,mechanism_stem,arabinofuranosyl derivatives,,拉滨,,,small_molecule,,,false,,,5,WHO INN Programme
-(clo)sporin,suffix,mechanism_stem,cyclosporine derivtives,,,,,small_molecule,,,false,,,5,WHO INN Programme
-(o)nidine,suffix,target_class_stem,"α2 adrenoreceptor agonists, clonidine derivatives",,尼定,gpcr,agonist,small_molecule,,,false,,,5,WHO INN Programme
-(o)pterin,suffix,mechanism_stem,pteridine derivatives,,,,,small_molecule,,,false,,,5,WHO INN Programme
-abine,suffix,mechanism_stem,"antineoplastic agents, cytarabine or azacitidine derivatives",,拉滨,,,small_molecule,cancer,,false,,,5,WHO INN Programme
-acetam,suffix,mechanism_stem,"amide type nootrope agents, piracetam derivatives",,西坦,,,small_molecule,,,false,,,5,WHO INN Programme
-adom,suffix,mechanism_stem,"analgesics, tifluadom derivatives",,朵,,,small_molecule,pain,,false,,,5,WHO INN Programme
-al,suffix,mechanism_stem,Aldehydes,,曲林,,,small_molecule,,,false,,,5,WHO INN Programme
-azam,suffix,mechanism_stem,diazepam derivatives,,,,,small_molecule,,,false,,,5,WHO INN Programme
-azolam,suffix,mechanism_stem,diazepam derivatives,,,,,small_molecule,,,false,,,5,WHO INN Programme
-bacept,suffix,target_class_stem,B-cell activating factor receptors,,西普,,,small_molecule,,,false,,,5,WHO INN Programme
-bart,suffix,chemical_class_stem,artificial immunoglobulins (current monoclonal antibody naming scheme),,,,antibody,monoclonal_antibody,,,false,,,5,WHO INN Programme
-benakin,suffix,mechanism_stem,interleukin-1 analogues and derivatives,,白介素,immune_checkpoint;cytokine,,small_molecule,,,false,,,5,WHO INN Programme
-bendan,suffix,mechanism_stem,"cardiac stimulants, pimobendan derivatives",,旦,,agonist,small_molecule,cardiovascular disease,,false,,,5,WHO INN Programme
-bercept,suffix,target_class_stem,target: VEGF receptors,,西普,growth_factor,,small_molecule,,,false,,,5,WHO INN Programme
-betasol,suffix,mechanism_stem,prednisone and prednisolone derivatives,,,,,small_molecule,,,false,,,5,WHO INN Programme
-brate,suffix,mechanism_stem,clofibrate derivatives,,贝特,,,small_molecule,,,false,,,5,WHO INN Programme
-caftor,suffix,mechanism_stem,"Cystic fibrosis transmembrane regulator (CFTR) protein modulators, correctors, and amplifiers",,,,modulator,small_molecule,,,false,,,5,WHO INN Programme
-citabine,suffix,mechanism_stem,"nucleosides antiviral or antineoplastic agents, cytarabine or azacitidine derivatives",,西他滨,,inhibitor,oligonucleotide,cancer;infectious disease,,false,,,5,WHO INN Programme
-clidine/-clidinium,suffix,target_class_stem,muscarinic receptor agonists/antagonists,,利定,,antagonist;agonist,small_molecule,,,false,,,5,WHO INN Programme
-cocept,suffix,target_class_stem,complement receptors,,西普,,,small_molecule,,,false,,,5,WHO INN Programme
-corat,suffix,target_class_stem,glucocorticoid receptor agonists,,,,agonist,small_molecule,,,false,,,5,WHO INN Programme
-curium,suffix,mechanism_stem,curare-like substances,,库铵,,,small_molecule,,,false,,,5,WHO INN Programme
-decakin,suffix,mechanism_stem,interleukin-10 analogues and derivatives,,白介素,immune_checkpoint;cytokine,,small_molecule,,,false,,,5,WHO INN Programme
-docokin,suffix,mechanism_stem,interleukin-22 analogues and derivatives,,白介素,immune_checkpoint;cytokine,,small_molecule,,,false,,,5,WHO INN Programme
-domide,suffix,mechanism_stem,"antineoplastics, thalidomide derivatives",,,,,small_molecule,cancer,,false,,,5,WHO INN Programme
-dox,suffix,mechanism_stem,"antibacterials, quinazoline dioxide derivatives",,,,inhibitor,small_molecule,infectious disease,,false,,,5,WHO INN Programme
-dronic acid,suffix,mechanism_stem,"calcium metabolism regulator, pharmaceutical aid",,膦酸,,,small_molecule,,,false,,,5,WHO INN Programme
-dutide,suffix,chemical_class_stem,oxyntomodulin analogues and other dual agonists of glucagon-like peptide receptor 1 (GLP-1R) and glucagon receptor (GCGR),,,,agonist,peptide,,,false,,,5,WHO INN Programme
-elvekin,suffix,mechanism_stem,interleukin-11 analogues and derivatives,,白介素,immune_checkpoint;cytokine,,small_molecule,,,false,,,5,WHO INN Programme
-enatide,suffix,chemical_class_stem,"glucagon-like peptide-1 receptor (GLP1R) agonists, exenatide (exendin-4) and analogues",,,,agonist,peptide,,,false,,,5,WHO INN Programme
-enicokin,suffix,mechanism_stem,interleukin-21 human analogues and derivatives,,尼-,immune_checkpoint;cytokine,,small_molecule,,,false,,,5,WHO INN Programme
-epdekinra (se -kinra),suffix,target_class_stem,interleukin-17 receptor antagonists (-)eptacog (see -cog) blood coagulation VII,,白介素,immune_checkpoint;cytokine;gpcr,antagonist;agonist,small_molecule,thrombosis,,false,,,5,WHO INN Programme
-eptakin,suffix,mechanism_stem,interleukin-7 analogues and derivatives,,白介素,immune_checkpoint;cytokine,,small_molecule,,,false,,,5,WHO INN Programme
-ermin,suffix,mechanism_stem,growth factors,,明,growth_factor,,small_molecule,,,false,,,5,WHO INN Programme
-etanide,suffix,mechanism_stem,"diuretics, piretanide derivatives",,他尼,,,small_molecule,,,false,,,5,WHO INN Programme
-ethidine,suffix,mechanism_stem,"analgesics, pethidine derivatives",,,,,small_molecule,pain,,false,,,5,WHO INN Programme
-farcept,suffix,target_class_stem,subgroup of interferon receptors,,西普,,,small_molecule,,,false,,,5,WHO INN Programme
-fenamic acid,suffix,mechanism_stem,"anti-inflammatory, anthranilic acid derivatives",,芬那酸,,,small_molecule,inflammatory diseases,,false,,,5,WHO INN Programme
-fenin,suffix,mechanism_stem,diagnostic aids; (phenylcarbamoyl)methyl iminodiacetic acid derivatives,,苯宁,,,small_molecule,hiv infection,,false,,,5,WHO INN Programme
-fentanil,suffix,target_class_stem,"opioid receptor agonists, analgesics, fentanyl derivatives",,芬太尼,gpcr,agonist,small_molecule,pain,,false,,,5,WHO INN Programme
-folastat,suffix,mechanism_stem,"inhibitors of folate hydrolase 1 (prostate-specific membrane antigen, PSMA)",,司特,,inhibitor,small_molecule,,,false,,,5,WHO INN Programme
-formin,suffix,mechanism_stem,"antihyperglycaemics, phenformin derivatives",,福明,,,small_molecule,type 2 diabetes,,false,,,5,WHO INN Programme
-fosfamide,suffix,mechanism_stem,alkylating agents of the cyclophosphamide group,,,,,small_molecule,,,false,,,5,WHO INN Programme
-fosine,suffix,mechanism_stem,cytostatic,,,,,small_molecule,,,false,,,5,WHO INN Programme
-fusp,suffix,mechanism_stem,fusion proteins,,,,,small_molecule,,,false,,,5,WHO INN Programme
-gene,suffix,mechanism_stem,gene therapy substances,,基,,,small_molecule,,,false,,,5,WHO INN Programme
-gestr-,infix,mechanism_stem,estrogens,,孕,nuclear_receptor,,small_molecule,,,false,,,5,WHO INN Programme
-glustat,suffix,mechanism_stem,ceramide glucosyltransferase inhibitors,,司他,,inhibitor,small_molecule,,,false,,,5,WHO INN Programme
-grel-/-grel,suffix,mechanism_stem,platelet aggregation inhibitors,,,,inhibitor,small_molecule,thrombosis,,false,,,5,WHO INN Programme
-ibine,suffix,mechanism_stem,ribofuranyl-derivatives of the “pyrazofurin” type,,立宾,,,small_molecule,,,false,,,5,WHO INN Programme
-igetide,suffix,chemical_class_stem,peptides and glycopeptides,,,,,peptide,,,false,,,5,WHO INN Programme
-ine,suffix,mechanism_stem,alkaloids and organic bases,,,,,small_molecule,,,false,,,5,WHO INN Programme
-izine (-yzine),suffix,mechanism_stem,diphenylmethyl piperazine derivatives,,,,,small_molecule,,,false,,,5,WHO INN Programme
-ki(n)-,infix,mechanism_stem,target: interleukin,,白介素,immune_checkpoint;cytokine,,small_molecule,,,false,,,5,WHO INN Programme
-lefacept,suffix,target_class_stem,lymphocyte function-associated antigen 3 receptors,,西普,,,small_molecule,,,false,,,5,WHO INN Programme
-mantadine,suffix,mechanism_stem,adamantane derivatives,,他定,,,small_molecule,,,false,,,5,WHO INN Programme
-mantine,suffix,mechanism_stem,adamantane derivatives,,,,,small_molecule,,,false,,,5,WHO INN Programme
-mastat,suffix,mechanism_stem,matrix metalloproteinase inhibitors,,司特,,inhibitor,small_molecule,,,false,,,5,WHO INN Programme
-ment,suffix,chemical_class_stem,immunoglobulin fragments (current monoclonal antibody naming scheme),,,,antibody,monoclonal_antibody,,,false,,,5,WHO INN Programme
-met(h)asone,suffix,mechanism_stem,prednisone and prednisolone derivatives,,,,,small_molecule,,,false,,,5,WHO INN Programme
-metacin,suffix,mechanism_stem,"anti-inflammatory, indometacin derivatives",,美辛,,,small_molecule,inflammatory diseases,,false,,,5,WHO INN Programme
-metinib,suffix,target_class_stem,MEK (MAPK# kinase) tyrosine kinase inhibitors # MAPK: mitogen activated protein kinase,,替尼,kinase;enzyme,inhibitor,small_molecule,,,false,,,5,WHO INN Programme
-metostat,suffix,mechanism_stem,histone N-methyltransferase inhibitors,,司他,,inhibitor,small_molecule,,,false,,,5,WHO INN Programme
-mifene,suffix,mechanism_stem,"antiestrogens, clomifene and tamoxifen derivatives",,芬,nuclear_receptor,,small_molecule,,,false,,,5,WHO INN Programme
-nacept,suffix,target_class_stem,interleukin-1 receptors,,西普,immune_checkpoint;cytokine,,small_molecule,,,false,,,5,WHO INN Programme
-nakin,suffix,mechanism_stem,interleukin-1 analogues and derivatives,,白介素,immune_checkpoint;cytokine,,small_molecule,,,false,,,5,WHO INN Programme
-nakinra,suffix,target_class_stem,interleukin-1 receptor antagonists,,白介素,immune_checkpoint;cytokine;gpcr,antagonist;agonist,small_molecule,,,false,,,5,WHO INN Programme
-naritide,suffix,chemical_class_stem,peptides and glycopeptides,,芬那酸,,,peptide,,,false,,,5,WHO INN Programme
-nercept,suffix,target_class_stem,tumour necrosis factor receptors,,西普,,,small_molecule,,,false,,,5,WHO INN Programme
-nicate,suffix,mechanism_stem,antihypercholesterolaemic and/or vasodilating nicotinic acid esters,,烟酯,,,small_molecule,hyperlipidemia,,false,,,5,WHO INN Programme
-octadekin,suffix,mechanism_stem,interleukin-18 human analogues and derivatives (-)octocog (see -cog) blood factor VIII,,,immune_checkpoint;cytokine,,small_molecule,,,false,,,5,WHO INN Programme
-ol,suffix,mechanism_stem,for alcohols and phenols (deleted from General Principles in 14th Report),,洛尔,,,small_molecule,,,false,,,5,WHO INN Programme
-onakin,suffix,mechanism_stem,interleukin-1 analogues and derivatives,,白介素,immune_checkpoint;cytokine,,small_molecule,,,false,,,5,WHO INN Programme
-onium,suffix,mechanism_stem,quaternary ammonium compounds,,铵,,,small_molecule,,,false,,,5,WHO INN Programme
-ox/-alox,suffix,mechanism_stem,"antacids, aluminium derivatives",,,,,small_molecule,,,false,,,5,WHO INN Programme
-oxan(e),suffix,mechanism_stem,benzodioxane derivatives,,克生,,,small_molecule,,,false,,,5,WHO INN Programme
-oxanide,suffix,mechanism_stem,"antiparasitics, salicylanilides and analogues",,沙奈,,,small_molecule,,,false,,,5,WHO INN Programme
-oxicam,suffix,mechanism_stem,"anti-inflammatory, isoxicam derivatives",,康,,,small_molecule,inflammatory diseases,,false,,,5,WHO INN Programme
-oxifene,suffix,target_class_stem,"antiestrogens or estrogen receptor modulators, clomifene and tamoxifen derivatives",,芬,nuclear_receptor,modulator,small_molecule,,,false,,,5,WHO INN Programme
-parcin,suffix,chemical_class_stem,for glycopeptide antibiotics,,帕星,,inhibitor,peptide,infectious disease,,false,,,5,WHO INN Programme
-pendekin,suffix,mechanism_stem,interleukin-15 analogues and derivatives,,白介素,immune_checkpoint;cytokine,,small_molecule,,,false,,,5,WHO INN Programme
-peridol,suffix,mechanism_stem,"antipsychotics, haloperidol derivatives",,,,,small_molecule,psychiatric disorders,,false,,,5,WHO INN Programme
-pin(e),suffix,mechanism_stem,tricyclic compounds,,平,,,small_molecule,,,false,,,5,WHO INN Programme
-pine,suffix,mechanism_stem,tricyclic compounds,,平,,,small_molecule,,,false,,,5,WHO INN Programme
-pirone,suffix,mechanism_stem,"anxiolytics, buspirone derivatives",,螺酮,,,small_molecule,psychiatric disorders,,false,,,5,WHO INN Programme
-pirox,suffix,mechanism_stem,antimycotic pyridone derivatives,,吡酮,,,small_molecule,,,false,,,5,WHO INN Programme
-plase,suffix,target_class_stem,enzymes,,酶,,,small_molecule,,,false,,,5,WHO INN Programme
-prenaline,suffix,mechanism_stem,"bronchodilators, phenethylamine derivatives",,特罗,,,small_molecule,,,false,,,5,WHO INN Programme
-prilat,suffix,target_class_stem,angiotensin-converting enzyme inhibitors,,普利拉,gpcr;enzyme,inhibitor,small_molecule,,,false,,,5,WHO INN Programme
-quin(e),suffix,mechanism_stem,quinoline derivatives (deleted from General Principles in List 28 prop. INN),,,,,small_molecule,,,false,,,5,WHO INN Programme
-restat,suffix,mechanism_stem,aldose reductase inhibitors,,司他,enzyme,inhibitor,small_molecule,,,false,,,5,WHO INN Programme
-salan,suffix,mechanism_stem,brominated salicylamide derivatives disinfectant,,,,,small_molecule,,,false,,,5,WHO INN Programme
-serod,suffix,target_class_stem,serotonin receptor antagonists and partial agonists,,色罗,gpcr,antagonist;agonist,small_molecule,,,false,,,5,WHO INN Programme
-sidenil,suffix,mechanism_stem,isocitrate dehydrogenase inhibitors,,,,inhibitor,small_molecule,,,false,,,5,WHO INN Programme
-stat/-stat-,infix,target_class_stem,enzyme inhibitors,,司他,enzyme,inhibitor,small_molecule,,,false,,,5,WHO INN Programme
-tacept,suffix,target_class_stem,cytotoxic T lymphocyte-associated antigen 4 (CTLA-4) receptors,,西普,,,small_molecule,,,false,,,5,WHO INN Programme
-tansine,suffix,mechanism_stem,"maytansinoid derivatives, antineoplastics",,坦新,,,small_molecule,cancer,,false,,,5,WHO INN Programme
-tegravir,suffix,mechanism_stem,HIV integrase inhibitors,,韦,,inhibitor,small_molecule,hiv infection,,false,,,5,WHO INN Programme
-tercept,suffix,target_class_stem,transforming growth factors receptors,,西普,growth_factor,,small_molecule,,,false,,,5,WHO INN Programme
-tilide,suffix,mechanism_stem,"class III antiarrhythmics, sematilide derivatives",,利特,,,small_molecule,cardiovascular disease,,false,,,5,WHO INN Programme
-tiline,suffix,mechanism_stem,"antidepressants, dibenzo[a,d]cycloheptane or cyclopheptene derivatives",,,,,small_molecule,psychiatric disorders,,false,,,5,WHO INN Programme
-tirom(-),suffix,mechanism_stem,"antihyperlipidaemics, thyromimetic derivatives",,,,,small_molecule,hyperlipidemia,,false,,,5,WHO INN Programme
-trectinib,suffix,target_class_stem,tropomyosin receptor kinase (TRK) inhibitors,,替尼,kinase,inhibitor,small_molecule,,,false,,,5,WHO INN Programme
-tredekin,suffix,mechanism_stem,interleukin-13 analogues and derivatives,,白介素,immune_checkpoint;cytokine,,small_molecule,,,false,,,5,WHO INN Programme
-trigine,suffix,target_class_stem,"sodium channel blockers, signal transduction modulators",,,ion_channel,antagonist;modulator,small_molecule,,,false,,,5,WHO INN Programme
-tril/trilat,suffix,mechanism_stem,endopeptidase inhibitors,,,,inhibitor,small_molecule,,,false,,,5,WHO INN Programme
-troban,suffix,target_class_stem,thromboxane A2-receptor antagonists; antithrombotic agents,,曲班,gpcr,antagonist;agonist,small_molecule,,,false,,,5,WHO INN Programme
-trombopag,suffix,mechanism_stem,thrombopoietin agonists,,,,agonist,small_molecule,,,false,,,5,WHO INN Programme
-tug,suffix,chemical_class_stem,unmodified immunoglobulins (current monoclonal antibody naming scheme),,,,antibody,monoclonal_antibody,,,false,,,5,WHO INN Programme
-ur,suffix,mechanism_stem,uridine derivatives used as antiviral agents and as antineoplastics,,,,inhibitor,small_molecule,cancer;infectious disease,,false,,,5,WHO INN Programme
-vec,suffix,mechanism_stem,gene therapy product,,,,,small_molecule,,,false,,,5,WHO INN Programme
-vetmab,suffix,chemical_class_stem,monoclonal antibodies for veterinary use,,单抗,,antibody,monoclonal_antibody,,,false,,,5,WHO INN Programme
-vos,suffix,mechanism_stem,"insecticides, anthelminthics, pesticides etc., phosphorus derivatives",,磷(膦),,,small_molecule,infectious disease,,false,,,5,WHO INN Programme
-yzine,suffix,mechanism_stem,diphenylmethyl piperazine derivatives,,,,,small_molecule,,,false,,,5,WHO INN Programme
-zomib,suffix,mechanism_stem,proteasome inhibitors,,,,inhibitor,small_molecule,,,false,,,5,WHO INN Programme
cell-/cel-,prefix,mechanism_stem,cellulose derivatives cell-ate (see cell-/cel-) cellulose ester derivatives for substances containing acidic residues,,赛,,,small_molecule,,,false,,,5,WHO INN Programme
fos,infix,mechanism_stem,"insecticides, anthelminthics, pesticides etc., phosphorous derivatives",,磷(膦),,,small_molecule,infectious disease,,false,,,5,WHO INN Programme
iod-/-io-,prefix,mechanism_stem,iodine-containing compounds other than contrast media,,,,,small_molecule,,,false,,,5,WHO INN Programme
mer-/-mer,infix,mechanism_stem,"mercury-containing drugs, antimicrobial or diuretic (deleted from General Principles in List 28 prop. INN)",,,,,small_molecule,,,false,,,5,WHO INN Programme
nico-/nic-/ni-,prefix,mechanism_stem,nicotinic acid or nicotinoyl alcohol derivatives,,尼-,,,small_molecule,,,false,,,5,WHO INN Programme
nitro-/nitr-/nit-/ni-/-ni-,prefix,mechanism_stem,NO2 - derivatives,,,,,small_molecule,,,false,,,5,WHO INN Programme
salazo-,prefix,mechanism_stem,phenylazosalicylic acid derivatives antibacterial,,,,inhibitor,small_molecule,infectious disease,,false,,,5,WHO INN Programme
sulfa-,prefix,mechanism_stem,"anti-infectives, sulfonamides",,磺胺,,inhibitor,small_molecule,infectious disease,,false,,,5,WHO INN Programme
vin-/-vin-,prefix,mechanism_stem,vinca alkaloids vir antivirals (undefined group),,,,inhibitor,small_molecule,infectious disease,,false,,,5,WHO INN Programme
