english,chinese,latin,french,spanish,atc
sodium morrhuate,鱼肝油酸钠,natrii morrhuas,morrhuate de sodium,morruato de sodio,
morazone,吗拉宗,,morazone,morazona,
phytonadiol sodium diphosphate,二氢维生素K1磷酸钠,phytonadioli natrii diphosphas,diphosphate sodique de phytonadiol,fitonadiol de sodio difosfato,
meproscillarin,甲海葱次苷,meproscillarinum,méproscillarine,meproscilarina,
melitracen,美利曲辛,melitracenum,mélitracène,melitraceno,
isospaglumic acid,异冬谷酸,acidum isospaglumicum,acide isospaglumique,ácido isospaglúmico,
etoxadrol,乙苯啶,etoxadrolum,étoxadrol,etoxadrol,
suxibuzone,琥布宗,suxibuzonum,suxibuzone,suxibuzona,
upenazime,乌培那肟,upenazimum,upénazime,upenazima,
troxipide,曲昔派特,troxipidum,troxipide,troxipida,
alexitol sodium,铝糖醇钠,alexitolum natricum,alexitol sodique,alexitol de sodio,
indusatumab vedotin,维英多妥尤单抗,indusatumabum vedotinum,indusatumab védotine,indusatumab vedotina,
quetiapine,喹硫平,quetiapinum,quétiapine,quetiapina,
darotropium bromide,达罗溴铵,darotropii bromidum,bromure de darotropium,bromuro de darotropio,
naratuximab emtansine,恩美那拉妥昔单抗,naratuximabum emtansinum,naratuximab emtansine,naratuximab emtansina,
cefazedone,头孢西酮,cefazedonum,céfazédone,cefazedona,
cotoretigene toliparvovec,利哌考瑞基,cotoretigenum toliparvovecum,cotoretigène toliparvovec,cotoretigén toliparvovec,
darenzepine,达仑西平,,darenzépine,darenzepina,
etofenprox,依芬普司,etofenproxum,étofenprox,etofenprox,
metrifudil,腺苷地尔,metrifudilum,métrifudil,metrifudil,
moveltipril,莫维普利,moveltiprilum,moveltipril,moveltipril,
nolatrexed,诺拉曲塞,nolatrexedum,nolatrexed,nolatrexed,
balsalazide,巴柳氮,balsalazidum,balsalazide,balsalazida,
ronifibrate,氯烟贝特,ronifibratum,ronifibrate,ronifibrato,
moxadolen,莫沙多林,moxadolenum,moxadolène,moxadoleno,
nadoxolol,萘肟洛尔,nadoxololum,nadoxolol,nadoxolol,
argimesna,精美司那,argimesnum,argimesna,argimesna,
prenalterol,普瑞特罗,prenalterolum,prénaltérol,prenalterol,
modaline,莫达林,modalinum,modaline,modalina,
pimeclone,哌美酮,pimeclonum,piméclone,pimeclona,
sesiclenegene cosaparvovec,柯哌斯奈基,sesiclenegenum cosaparvovecum,sésiclénégène cosaparvovec,sesiclenegén cosaparvovec,
romergoline,罗麦角林,romergolinum,romergoline,romergolina,
fluorodopa (18f),氟[18F]多巴,fluorodopum (18F),fluorodopa (18F),fluorodopa (18F),
cinpropazide,桂丙齐特,cinpropazidum,cinpropazide,cinpropazida,
falintolol,法林洛尔,falintololum,falintolol,falintolol,
biniramycin,比尼霉素,biniramycinum,biniramycine,biniramicina,
dobupride,多布必利,dobupridum,dobupride,dobuprida,
drotebanol,羟蒂巴酚,drotebanolum,drotébanol,drotebanol,
loviride,洛韦胺,loviridum,loviride,lovirida,
somidobove,牛度生长素,somidobovum,somidobove,somidobovo,
cefpimizole,头孢咪唑,cefpimizolum,cefpimizole,cefpimizol,
niperotidine,尼培替丁,niperotidinum,nipérotidine,niperotidina,
rebamipide mofetil,吗替瑞巴派特,rebamipidum mofetilum,rébamipide mofétil,rebamipida de mofetilo,
tilozepine,替氯西平,tilozepinum,tilozépine,tilozepina,
umespirone,乌美螺酮,umespironum,umespirone,umespirona,
brindoxime,布茚多辛,brindoximum,brindoxime,brindoxima,
tixocortol,替可的松,tixocortolum,tixocortol,tixocortol,
zomepirac,佐美酸,zomepiracum,zomépirac,zomepiraco,
cebaracetam,西巴西坦,cebaracetamum,cébaracétam,cebaracetam,
mefenidramium metilsulfate,甲硫美芬铵,mefenidramii metilsulfas,métilsulfate de méfénidramium,metilsulfato de mefenidramio,
loxiglumide,氯昔谷胺,loxiglumidum,loxiglumide,loxiglumida,
mofloverine,吗洛维林,mofloverinum,moflovérine,mofloverina,
benzpyrinium bromide,苄吡溴铵,benzpyrinii bromidum,bromure de benzpyrinium,bromuro de benzopirinio,
rocakinogene sifuplasmid,司洛吉基,rocakinogenum sifuplasmidum,rocakinogène sifuplasmide,rocakinogén sifuplasmida,
pegdarbepoetin beta,培达促红素β,pegdarbepoetinum beta,pegdarbépoétine bêta,pegdarbepoetina beta,
tazobactam,他唑巴坦,tazobactamum,tazobactam,tazobactam,
nebidrazine,奈比腙,nebidrazinum,nébidrazine,nebidrazina,
clopidol,氯吡多,clopidolum,clopidol,clopidol,
ferropolimaler,聚马醚亚铁,ferropolimalerum,ferropolimalère,ferropolimalero,
bromociclen,溴西克林,bromociclenum,bromociclène,bromocicleno,
bisfentidine,比芬替丁,bisfentidinum,bisfentidine,bisfentidina,
fibracillin,非布西林,fibracillinum,fibracilline,fibracilina,
valofane,哇洛凡,,valofane,valofano,
enpiprazole,恩吡哌唑,enpiprazolum,enpiprazole,enpiprazol,
denipride,地尼必利,denipridum,dénipride,deniprida,
glenvastatin,格仑伐他汀,glenvastatinum,glenvastatine,glenvastatina,
felvizumab,泛韦珠单抗,felvizumabum,felvizumab,felvizumab,
tiamenidine,噻美尼定,tiamenidinum,tiaménidine,tiamenidina,
bervastatin,柏伐他汀,bervastatinum,bervastatine,bervastatina,
troplasminogen alfa,曲纤溶酶原α,troplasminogenum alfa,troplasminogène alfa,troplasminógeno alfa,
trimedoxime bromide,溴三甲肟,trimedoximi bromidum,bromure de trimédoxime,bromuro de trimedoxima,
tigestol,替孕醇,tigestolum,tigestol,tigestol,
vanglusagene ensiparvovec,恩哌凡基,vanglusagenum ensiparvovecum,vanglusagène ensiparvovec,vanglusagén ensiparvovec,
brimonidine,溴莫尼定,brimonidinum,brimonidine,brimonidina,
biphasic insulin injection,双相胰岛素注射液,insulini injectio biphasica,soluté injectable d'insuline biphasique,inyectable de insulina bifásica,
tosactide,托沙克肽,tosactidum,tosactide,tosactida,
perbufylline,哌丁茶碱,perbufyllinum,perbufylline,perbufilina,
pifexole,匹非克索,pifexolum,piféxole,pifexol,
ilmetropium iodide,伊托碘铵,ilmetropii iodidum,iodure d'ilmétropium,ioduro de ilmetropio,
pentamorphone,戊吗酮,pentamorphonum,pentamorphone,pentamorfona,
indoprofen,吲哚洛芬,indoprofenum,indoprofène,indoprofeno,
nufenoxole,奴芬克索,,nufénoxole,nufenoxol,
guanazodine,胍那佐定,guanazodinum,guanazodine,guanazodina,
gestaclone,孕氯酮,gestaclonum,gestaclone,gestaclona,
ofornine,奥福宁,oforninum,ofornine,ofornina,
tifurac,替呋酸,tifuracum,tifurac,tifuraco,
clervonafusp alfa,克雷那芙普α,clervonafuspum alfa,clervonafusp alfa,clervonafusp alfa,
ziconotide,齐考诺肽,,ziconotide,ziconotida,
tivanidazole,替伐硝唑,tivanidazolum,tivanidazole,tivanidazol,
cimoxatone,西莫沙酮,cimoxatonum,cimoxatone,cimoxatona,
pioglitazone,吡格列酮,pioglitazonum,pioglitazone,pioglitazona,
meobentine,甲氧苯汀,meobentinum,méobentine,meobentina,
nilestriol,尼尔雌醇,nilestriolum,nilestriol,nilestriol,
actinium (225ac) lintuzumab satetraxetan,沙锕(225Ac)林妥珠单抗,actinium (225Ac) lintuzumabum satetraxetanum,actinium (225Ac) lintuzumab satétraxétan,actinio (225Ac) lintuzumab satetraxetán,
idroxioleic acid,伊屈昔莱酸,acidum idroxioleicum,acide idroxioléique,ácido idroxioleico,
steffimycin,司替霉素,steffimycinum,steffimycine,estefimicina,
biciromab,比西单抗,biciromabum,biciromab,biciromab,
cevaretigene ritoparvovec,瑞哌西沃基,cevaretigenum ritoparvovecum,cévarétigène ritoparvovec,cevaretigén ritoparvovec,
rimazolium metilsulfate,甲硫利马唑,rimazolii metilsulfas,métilsulfate de rimazolium,metilsulfato de rimazolio,
cetuximab sarotalocan,沙西妥昔单抗,cetuximabum sarotalocanum,cétuximab sarotalocan,cetuximab sarotalocán,
urokinase alfa,尿激酶α,urokinasum alfa,urokinase alfa,urokinasa alfa,
clazolam,克拉唑仑,clazolamum,clazolam,clazolam,
napirimus,萘吡莫司,napirimusum,napirimus,napirimús,
taleranol,他来拉醇,taleranolum,taléranol,taleranol,
lexofenac,来克芬酸,lexofenacum,lexofénac,lexofenaco,
ethisterone,炔孕酮,ethisteronum,ethistérone,etisterona,
lidimycin,利地霉素,lidimycinum,lidimycine,lidimicina,
somatropin pegol,培戈-生长激素,somatropinum pegolum,somatropine pégol,somatropina pegol,
entacingene turiparvovec,瑞哌恩基,entacingenum turiparvovecum,entacingène turiparvovec,entacingén turiparvovec,
clofenetamine,氯苯他明,,clofénétamine,clofenetamina,
montirelin,孟替瑞林,montirelinum,montiréline,montirelina,
cicloheximide,环己米特,cicloheximidum,cicloheximide,cicloheximida,
bromerguride,溴麦角脲,bromerguridum,bromerguride,bromergurida,
polyglycolic acid,聚乙醇酸,acidum polyglycolicum,acide polyglycolique,ácido poliglicólico,
piperoxan,哌罗克生,piperoxanum,pipéroxan,piperoxano,
etiproston,依替前列通,,étiprostone,etiprostón,
temarotene,替马罗汀,,témarotène,temaroteno,
bendamustine,苯达莫司汀,bendamustinum,bendamustine,bendamustina,
binizolast,比尼司特,binizolastum,binizolast,binizolast,
emakalim,依马卡林,emakalimum,émakalim,emakalim,
halofenate,卤芬酯,halofenatum,halofénate,halofenato,
ambroxol,氨溴索,ambroxolum,ambroxol,ambroxol,
cirazoline,西拉唑啉,,cirazoline,cirazolina,
ethyl cartrizoate,碘卡乙酯,ethylis cartrizoas,cartrizoate d'éthyle,cartrizoato de etilo,
calcium benzamidosalicylate,苯沙酸钙,calcii benzamidosalicylas,benzamidosalicylate de calcium,benzamidosalicilato de calcio,
insulin peglispro,培赖脯胰岛素,insulinum peglisprum,insuline péglispro,insulina peglispro,
beperidium iodide,贝哌碘铵,beperidii iodidum,iodure de bépéridium,ioduro de beperidio,
mannosulfan,甘露舒凡,mannosulfanum,mannosulfan,manosulfano,
biriperone,比立哌隆,biriperonum,biripérone,biriperona,
tiprostanide,替前列胺,tiprostanidum,tiprostanide,tiprostanida,
lorpiprazole,洛吡哌唑,lorpiprazolum,lorpiprazole,lorpiprazol,
clorindanic acid,氯茚酚酸,acidum clorindanicum,acide clorindanique,ácido clorindánico,
sitofibrate,西托贝特,sitofibratum,sitofibrate,sitofibrato,
barbital sodium,巴比妥钠,barbitalum natricum,barbital sodique,barbital de sodio,
acefylline piperazine,哌醋茶碱,,acéfylline pipérazine,acefilina piperazina,
xilobam,希洛班,xilobamum,xilobam,xilobam,
decimemide,地西酰胺,decimemidum,décimémide,decimemida,
nuclomedone,奴氯美酮,nuclomedonum,nuclomédone,nuclomedona,
fepromide,非普罗胺,fepromidum,fépromide,fepromida,
temelastine,替美斯汀,temelastinum,témélastine,temelastina,
pyricarbate,吡卡酯,pyricarbatum,pyricarbate,piricarbato,
tetriprofen,替曲洛芬,tetriprofenum,tétriprofène,tetriprofeno,
mitoflaxone,米托拉酮,mitoflaxonum,mitoflaxone,mitoflaxona,
pipemidic acid,吡哌酸,acidum pipemidicum,acide pipémidique,ácido pipemídico,
motretinide,莫维A胺,motretinidum,motrétinide,motretinida,
doreptide,多瑞肽,doreptidum,doreptide,doreptida,
amezinium metilsulfate,甲硫阿美铵,amezinii metilsulfas,métilsulfate d'amézinium,metilsulfato de amezinio,
metiprenaline,甲丙那林,metiprenalinum,métiprénaline,metiprenalina,
quinpirole,喹吡罗,quinpirolum,quinpirole,quinpirol,
sibutramine,西布曲明,sibutraminum,sibutramine,sibutramina,
sodium dehydrocholate,去氢胆酸钠,natrii dehydrocholas,déhydrocholate de sodium,dehidrocolato de sodio,
tropapride,曲帕必利,tropapridum,tropapride,tropaprida,
enalapril,依那普利,enalaprilum,énalapril,enalapril,
draquinolol,屈喹洛尔,draquinololum,draquinolol,draquinolol,
prucalopride,普芦卡必利,prucalopridum,prucalopride,prucaloprida,
zilpaterol,齐帕特罗,zilpaterolum,zilpatérol,zilpaterol,
cinepazic acid,桂哌酸,acidum cinepazicum,acide cinépazique,ácido cinepázico,
pipratecol,哌拉替考,pipratecolum,pipratécol,pipratecol,
colimecycline,多粘环素,colimecyclinum,colimécycline,colimeciclina,
chloroquine,氯喹,,chloroquine,cloroquina,
fencibutirol,芬西布醇,fencibutirolum,fencibutirol,fencibutirol,
sevopramide,司伏普胺,sevopramidum,sévopramide,sevopramida,
nicafenine,尼卡非宁,nicafeninum,nicafénine,nicafenina,
cadalimogene ixalentivec,艾兰卡莫基,cadalimogenum ixalentivecum,cadalimogène ixalentivec,cadalimogén ixalentivec,
alclofenac,阿氯芬酸,alclofenacum,alclofénac,alclofenaco,
trantelinium bromide,群替溴铵,trantelinii bromidum,bromure de trantélinium,bromuro de trantelinio,
opanixil,奥帕尼西,opanixilum,opanixil,opanixilo,
benzestrol,苯雌酚,benzestrolum,benzestrol,bencestrol,
bolandiol,勃雄二醇,bolandiolum,bolandiol,bolandiol,
flumeridone,氟美立酮,flumeridonum,fluméridone,flumeridona,
carprazidil,卡普地尔,carprazidilum,carprazidil,carprazidil,
satoreotide trizoxetan,曲沙瑞肽,satoreotidum trizoxetanum,satoréotide trizoxétan,satoreotida trizoxetán,
duometacin,度美辛,duometacinum,duométacine,duometacina,
cefclidin,头孢克定,cefclidinum,cefclidine,cefclidina,
eniclobrate,恩尼贝特,eniclobratum,éniclobrate,eniclobrato,
fenquizone,芬喹唑,fenquizonum,fenquizone,fenquizona,
pituxate,哌妥酯,pituxatum,pituxate,pituxato,
cefmepidium chloride,头孢氯铵,cefmepidii chloridum,chlorure de cefmépidium,cloruro de cefmepidio,
bitipazone,比替哌宗,,bitipazone,bitipazona,
almagodrate,铝镁屈特,almagodratum,almagodrate,almagodrato,
flucrilate,氟克立酯,flucrilatum,flucrilate,flucrilato,
methestrol,美雌酚,methestrolum,méthestrol,metestrol,
tolpadol,托帕多,,tolpadol,tolpadol,
aditeren,阿地特仑,aditerenum,aditérène,aditereno,
quinaprilat,喹那普利拉,quinaprilatum,quinaprilate,quinaprilat,
fenabutene,非那丁烯,fenabutenum,fénabutène,fenabuteno,
metoserpate,美托舍酯,,métoserpate,metoserpato,
revakinagene taroretcel,瑞基塔锐赛,revakinagenum taroretcelum,révakinagène taroretcel,revakinagén taroretcel,
semotiadil,司莫地尔,semotiadilum,sémotiadil,semotiadil,
halopemide,卤培米特,halopemidum,halopémide,halopemida,
diethylstilbestrol,己烯雌酚,diethylstilbestrolum,diéthylstilbestrol,dietilestilbestrol,
brofoxine,溴福嗪,brofoxinum,brofoxine,brofoxina,
amedalin,氨甲达林,amedalinum,amédaline,amedalina,
sodium cyclamate,环拉酸钠,natrii cyclamas,cyclamate de sodium,ciclamato de sodio,
rafivirumab,雷韦尤单抗,rafivirumabum,rafivirumab,rafivirumab,
cimetropium bromide,西托溴铵,cimetropii bromidum,bromure de cimétropium,bromuro de cimetropio,
avoparcin,阿伏帕星,avoparcinum,avoparcine,avoparcina,
isoxaprolol,异洛尔,isoxaprololum,isoxaprolol,isoxaprolol,
lenadogene nolparvovec,诺哌来度基,lenadogenum nolparvovecum,lénadogène nolparvovec,lenadogén nolparvovec,
racefenicol,消旋甲砜霉素,racefenicolum,racéfénicol,racefenicol,
droxicam,屈昔康,droxicamum,droxicam,droxicam,
mafoprazine,马福拉嗪,mafoprazinum,mafoprazine,mafoprazina,
meclorisone,甲氯松,meclorisonum,méclorisone,meclorisona,
mephenesin,美芬新,mephenesinum,méphénésine,mefenesina,
propiverine,丙哌维林,propiverinum,propivérine,propiverina,
broxaterol,溴沙特罗,broxaterolum,broxatérol,broxaterol,
pibutidine,哌布替丁,pibutidinum,pibutidine,pibutidina,
venlafaxine,文拉法辛,venlafaxinum,venlafaxine,venlafaxina,
tenamfetamine,替苯丙胺,tenamfetaminum,ténamfétamine,tenanfetamina,
enocitabine,依诺他滨,enocitabinum,énocitabine,enocitabina,
quazodine,夸唑定,quazodinum,quazodine,quazodina,
romifenone,罗米芬酮,,romifénone,romifenona,
linsidomine,林西多明,linsidominum,linsidomine,linsidomina,
gepefrine,吉培福林,gepefrinum,gépéfrine,gepefrina,
ketocainol,凯托卡诺,ketocainolum,kétocaïnol,ketocainol,
gamolenic acid,加莫烯酸,acidum gamolenicum,acide gamolénique,ácido gamolénico,
ethyl dibunate,地布酸乙酯,ethylis dibunas,dibunate d'éthyle,dibunato de etilo,
sodium ascorbate,维生素C钠,natrii ascorbas,ascorbate de sodium,ascorbato de sodio,
denzimol,登齐醇,,denzimol,denzimol,
noreximide,诺瑞昔胺,noreximidum,noreximide,noreximida,
impacarzine,英帕卡嗪,impacarzinum,impacarzine,impacarzina,
mertiatide,巯替肽,mertiatidum,mertiatide,mertiatida,
clindamycin,克林霉素,clindamycinum,clindamycine,clindamicina,
iodocetylic acid (123i),碘[123I]软脂酸,acidum iodocetylicum (123I),acide iodocétylique (123I),ácido iodocetílico (123I),
oremepermin alfa,奥米普明α,oremeperminum alfa,orémépermine alfa,oremepermina alfa,
tibezonium iodide,替贝碘铵,tibezonii iodidum,iodure de tibézonium,ioduro de tibezonio,
etofylline clofibrate,益多酯,etofyllini clofibras,clofibrate d'étofylline,clofibrato de etofilina,
loperamide oxide,氧洛哌丁胺,loperamidum oxidum,lopéramide oxyde,óxido de loperamida,
clorgiline,氯吉兰,clorgilinum,clorgiline,clorgilina,
rosaprostol,罗沙前列醇,,rosaprostol,rosaprostol,
tasosartan,他索沙坦,,tasosartan,tasosartán,
treptilamine,曲普替胺,treptilaminum,treptilamine,treptilamina,
glunicate,葡烟酯,glunicatum,glunicate,glunicato,
tipentosin,噻戊托辛,tipentosinum,tipentosine,tipentosina,
flurazepam,氟西泮,flurazepamum,flurazépam,flurazepam,
calcium levofolinate,左亚叶酸钙,calcii levofolinas,lévofolinate de calcium,levofolinato de calcio,
daledalin,达来达林,daledalinum,dalédaline,daledalina,
cinnarizine clofibrate,桂利嗪氯贝特,cinnarizini clofibras,clofibrate de cinnarizine,clofibrato de cinarizina,
nordinone,诺二甲酮,nordinonum,nordinone,nordinona,
lanatoside c,毛花苷C,lanatosidum C,lanatoside C,lanatósido C,
lixazinone,利沙齐农,lixazinonum,lixazinone,lixazinona,
amprolium,安普罗铵,,amprolium,amprolio,
ropitoin,罗匹妥英,ropitoinum,ropitoïne,ropitoína,
mapinastine,马哌斯汀,mapinastinum,mapinastine,mapinastina,
imidazole salicylate,水杨酸咪唑,imidazoli salicylas,salicylate d'imidazole,salicilato de imidazol,
somfasepor,猪发生长素,somfaseporum,somfasépor,somfasepor,
iofolastat (123i),碘[123I]福司他,iofolastatum (123I),iofolastat (123I),iofolastat (123I),
amcinafide,安西非特,amcinafidum,amcinafide,amcinafida,
azanidazole,阿扎硝唑,azanidazolum,azanidazole,azanidazol,
alanosine,阿拉诺新,alanosinum,alanosine,alanosina,
rovoctocogene durparvovec,多哌洛可基,rovoctocogenum durparvovecum,rovoctocogène durparvovec,rovoctocogén durparvovec,
cethexonium chloride,西塞氯铵,cethexonii chloridum,chlorure de céthexonium,cloruro de cetexonio,
lauroguadine,月桂胍,lauroguadinum,lauroguadine,lauroguadina,
amipizone,氨匹宗,amipizonum,amipizone,amipizona,
nimetazepam,尼美西泮,nimetazepamum,nimétazépam,nimetazepam,
fopirtoline,福吡托林,fopirtolinum,fopirtoline,fopirtolina,
amcinafal,安西法尔,amcinafalum,amcinafal,amcinafal,
oxetorone,奥昔托隆,oxetoronum,oxétorone,oxetorona,
procinonide,普西奈德,procinonidum,procinonide,procinonida,
pirepolol,匹瑞洛尔,pirepololum,pirépolol,pirepolol,
azimexon,阿齐美克,,azimexon,azimexón,
sulglicotide,硫糖肽,sulglicotidum,sulglicotide,sulglicotida,
aganodine,阿胍诺定,aganodinum,aganodine,aganodina,
meteneprost,甲烯前列素,meteneprostum,méténéprost,meteneprost,
homopipramol,高匹拉醇,homopipramolum,homopipramol,homopipramol,
aceglatone,醋葡醛内酯,aceglatonum,acéglatone,aceglatona,
cilofungin,西洛芬净,cilofunginum,cilofungine,cilofungina,
butonate,布托酯,butonatum,butonate,butonato,
tetrofosmin,替曲膦,tetrofosminum,tétrofosmine,tetrofosmina,
dalvastatin,达伐他汀,dalvastatinum,dalvastatine,dalvastatina,
bemarinone,贝马力农,bemarinonum,bémarinone,bemarinona,
pinazepam,匹那西泮,pinazepamum,pinazépam,pinazepam,
thenium closilate,氯苯磺酸西尼铵,thenii closilas,closilate de thénium,closilato de tenio,
frabuprofen,氟拉洛芬,frabuprofenum,frabuprofène,frabuprofeno,
succisulfone,琥珀氨苯砜,succisulfonum,succisulfone,succisulfona,
inetagugene geperpavec,戈合依塔基,inetagugenum geperpavecum,inétagugène géperpavec,inetagugén geperpavec,
mabuprofen,马布洛芬,mabuprofenum,mabuprofène,mabuprofeno,
clobenzepam,氯苯西泮,clobenzepamum,clobenzépam,clobenzepam,
terofenamate,特罗芬那酯,terofenamatum,térofénamate,terofenamato,
lorzafone,氯扎封,lorzafonum,lorzafone,lorzafona,
mindoperone,明多哌隆,mindoperonum,mindopérone,mindoperona,
cuproxoline,铜克索林,cuproxolinum,cuproxoline,cuproxolina,
bepafant,贝帕泛,bepafantum,bépafant,bepafant,
moxipraquine,甲氧丙喹,moxipraquinum,moxipraquine,moxipraquina,
tilomisole,噻氯咪索,tilomisolum,tilomisole,tilomisol,
stirocainide,司替卡尼,stirocainidum,stirocaïnide,estirocainida,
idrapril,伊屈普利,,idrapril,idrapril,
eprobemide,依普贝胺,eprobemidum,éprobémide,eprobemida,
niceritrol,戊四烟酯,niceritrolum,nicéritrol,niceritrol,
bromofos,溴硫磷,bromofosum,bromofos,bromofós,
buspirone,丁螺酮,buspironum,buspirone,buspirona,
efetozole,依非托唑,efetozolum,éfétozole,efetozol,
fentiazac,芬替酸,fentiazacum,fentiazac,fentiazaco,
butanserin,布坦色林,butanserinum,butansérine,butanserina,
cefuracetime,头孢呋汀,cefuracetimum,céfuracétime,cefuracetima,
rosopatamab tetraxetan,替罗索帕妥单抗,rosopatamabum tetraxetanum,rosopatamab tétraxétan,rosopatamab tetraxetán,
metalkonium chloride,美他氯铵,metalkonii chloridum,chlorure de métalkonium,cloruro de metalconio,
cefuzonam,头孢唑南,cefuzonamum,céfuzonam,cefuzonam,
domoprednate,多泼尼酯,domoprednatum,domoprednate,domoprednato,
isomolpan,异莫泮,isomolpanum,isomolpan,isomolpán,
demoxepam,地莫西泮,demoxepamum,démoxépam,demoxepam,
melinamide,亚油甲苄胺,melinamidum,mélinamide,melinamida,
oxydipentonium chloride,奥地氯铵,,chlorure d'oxydipentonium,cloruro de oxidipentonio,
setoperone,司托哌隆,setoperonum,sétopérone,setoperona,
tobuterol,托布特罗,tobuterolum,tobutérol,tobuterol,
glucametacin,葡美辛,glucametacinum,glucamétacine,glucametacina,
estradiol benzoate,苯甲雌二醇,estradioli benzoas,benzoate d'estradiol,benzoato de estradiol,
antithrombin iii,抗凝血酶III,antithrombinum III,antithrombine III,antitrombina III,
clomegestone,氯美孕酮,clomegestonum,clomégestone,clomegestona,
pelgifatamab corixetan,柯立派妥单抗,pelgifatamabum corixetanum,pelgifatamab corixétan,pelgifatamab corixetán,
carbofenotion,卡波硫磷,carbofenotionum,carbofénotion,carbofenotión,
tenilapine,替尼拉平,tenilapinum,ténilapine,tenilapina,
texacromil,替沙罗米,texacromilum,texacromil,texacromilo,
poliglecaprone,聚卡普隆,poliglecapronum,poliglécaprone,poliglecaprona,
dimoxyline,地莫昔林,dimoxylinum,dimoxyline,dimoxilina,
vocimagene amiretrorepvec,安芮伏码基,vocimagenum amiretrorepvecum,vocimagène amirétrorépvec,vocimagén amiretrorepvec,
carbuterol,卡布特罗,carbuterolum,carbutérol,carbuterol,
aligomanuxic acid,甘露特酸,acidum aligomanuxicum,acide aligomanuxique,ácido aligomanúxico,
carubicin,卡柔比星,carubicinum,carubicine,carubicina,
dicresulene,地瑞舒林,dicresulenum,dicrésulène,dicresuleno,
quazolast,喹唑司特,quazolastum,quazolast,quazolast,
fenclofos,芬氯磷,fenclofosum,fenclofos,fenclofós,
clociguanil,氯环胍,clociguanilum,clociguanil,clociguanil,
vaneprim,伐奈普林,vaneprimum,vanéprime,vaneprima,
octamylamine,辛戊胺,,octamylamine,octamilamina,
batroxobin,巴曲酶,batroxobinum,batroxobine,batroxobina,
ipramidil,异丙地尔,ipramidilum,ipramidil,ipramidil,
dazidamine,达齐胺,dazidaminum,dazidamine,dazidamina,
dimetholizine,二甲力嗪,dimetholizinum,dimétholizine,dimetolizina,
trandolaprilat,群多普利拉,trandolaprilatum,trandolaprilate,trandolaprilat,
racepinefrine,消旋肾上腺素,racepinefrinum,racépinéfrine,racepinefrina,
tebrocabtagene autoleucel,特泊卡基仑赛,tebrocabtagenum autoleucelum,tébrocabtagène autoleucel,tebrocabtagén autoleucel,
choriogonadotropin beta,绒促性素β,choriogonadotropinum beta,choriogonadotropine bêta,coriogonadotropina beta,
teroxirone,替罗昔隆,teroxironum,téroxirone,teroxirona,
delandistrogene moxeparvovec,莫哌德兰基,delandistrogenum moxeparvovecum,délandistrogène moxéparvovec,delandistrogén moxeparvovec,
levomenthol,左薄荷脑,levomentholum,lévomenthol,levomentol,
premazepam,普瑞西泮,premazepamum,prémazépam,premazepam,
chlormadinone,氯地孕酮,chlormadinonum,chlormadinone,clormadinona,
pamaquine,帕马喹,,pamaquine,pamaquina,
tirvalimogene teraplasmid,特米替莫基,tirvalimogenum teraplasmidum,tirvalimogène téraplasmide,tirvalimogén teraplásmido,
meletimide,甲苄哌苯哌酮,meletimidum,mélétimide,meletimida,
razinodil,雷嗪地尔,razinodilum,razinodil,razinodil,
pelretin,培维A,pelretinum,pelrétine,pelretina,
cetraxate,西曲酸酯,cetraxatum,cétraxate,cetraxato,
enapotamab vedotin,维恩泊妥单抗,enapotamabum vedotinum,énapotamab védotine,enapotamab vedotina,
anetumab corixetan,柯安妥尤单抗,anetumabum corixetanum,anétumab corixétan,anetumab corixetán,
ranimycin,雷尼霉素,ranimycinum,ranimycine,ranimicina,
froxiprost,氟氧前列素,froxiprostum,froxiprost,froxiprost,
broxuridine,溴尿苷,broxuridinum,broxuridine,broxuridina,
betamethasone acibutate,醋布倍他米松,betamethasoni acibutas,acibutate de bétaméthasone,acibutato de betametasona,
picumeterol,吡库特罗,picumeterolum,picumétérol,picumeterol,
hydroxytoluic acid,羟甲苯酸,acidum hydroxytoluicum,acide hydroxytoluique,ácido hidroxitoluico,
dexlofexidine,右洛非西定,dexlofexidinum,dexlofexidine,dexlofexidina,
ridazolol,利达洛尔,ridazololum,ridazolol,ridazolol,
deboxamet,地波沙美,deboxametum,déboxamet,deboxamet,
pentaquine,喷他喹,,pentaquine,pentaquina,
efepoetin alfa,依福促红素α,efepoetinum alfa,éfépoétine alfa,efepoetina alfa,
hydromadinone,羟地孕酮,hydromadinonum,hydromadinone,hidromadinona,
netilmicin,奈替米星,netilmicinum,nétilmicine,netilmicina,
zilovertamab vedotin,纬泽罗妥单抗,zilovertamabum vedotinum,zilovertamab védotine,zilovertamab vedotina,
lomefloxacin,洛美沙星,lomefloxacinum,loméfloxacine,lomefloxacino,
butantrone,布蒽酮,butantronum,butantrone,butantrona,
calcium sodium ferriclate,铁葡酸钙钠,calcii natrii ferriclas,ferriclate de calcium sodique,ferriclato cálcico de sodio,
timobesone,替莫贝松,timobesonum,timobésone,timobesona,
ciclafrine,环拉福林,ciclafrinum,ciclafrine,ciclafrina,
eflenograstim alfa,依福莱格司亭α,eflenograstimum alfa,éflénograstim alfa,eflenograstim alfa,
piperacillin,哌拉西林,piperacillinum,pipéracilline,piperacilina,
gentamicin,庆大霉素,gentamicinum,gentamicine,gentamicina,
cismadinone,西地孕酮,cismadinonum,cismadinone,cismadinona,
